RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	  Duration	 Sc	 or	 es	      Date Time   	UPC	Model User Prompt	 Eval Duration	Eval Tokens	Prompt Eval Tokens	SysPmtCd	Model System Prompt	  Web Search Prompt    	Doc-File Name          	Web Search URL         	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s11_t011.01  	rm231p	llama3.2:3b                	   4000	  0.3	114.74	  10.12	  0	  0	  0	  2025-05-06 17:38	KN1	  478	Explain the key differen...	  4.17	   78	GKN1-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	                       	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	E:/Repos/Robin/AIDocs_/test1-robin/..docs/a11_search-app/25.05.May/a11_t011_llama3.2;3b_1,1-test on rm231p/s11_t011.01.4.50506.1738_Response.txt
s11_t021.01  	rm231p	phi3                       	   4000	  0.3	114.04	   7.62	  0	  0	  0	  2025-05-06 17:39	KN1	  556	Explain the key differen...	  4.88	   35	GKN1-SIMP	Please use the information in th...	roman empire               	0 Sources, 0 bytes     	                       	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	E:/Repos/Robin/AIDocs_/test1-robin/..docs/a11_search-app/25.05.May/a11_t021_phi3_1,1-test on rm231p/s11_t021.01.4.50506.1739_Response.txt
s11_t031.01  	rm231p	granite3.1-dense:2b        	   4000	  0.3	120.66	   7.53	  0	  0	  0	  2025-05-06 17:39	KN1	  519	Explain the key differen...	  4.30	   97	GKN1-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	                       	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	E:/Repos/Robin/AIDocs_/test1-robin/..docs/a11_search-app/25.05.May/a11_t031_granite3.1-dense;2b_1,25-tests on rm231p/s11_t031.01.4.50506.1739_Response.txt
s11_t031.02  	rm231p	granite3.1-dense:2b        	   4000	  0.3	122.36	   5.05	  0	  0	  0	  2025-05-06 17:39	KN2	  610	Summarize the major clim...	  4.99	  101	GKN1-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	                       	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	E:/Repos/Robin/AIDocs_/test1-robin/..docs/a11_search-app/25.05.May/a11_t031_granite3.1-dense;2b_1,25-tests on rm231p/s11_t031.02.4.50506.1739_Response.txt
s11_t031.03  	rm231p	granite3.1-dense:2b        	   4000	  0.3	125.27	   4.36	  0	  0	  0	  2025-05-06 17:39	KN3	  540	What are the primary cha...	  4.31	  100	GKN1-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	                       	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	E:/Repos/Robin/AIDocs_/test1-robin/..docs/a11_search-app/25.05.May/a11_t031_granite3.1-dense;2b_1,25-tests on rm231p/s11_t031.03.4.50506.1739_Response.txt
s11_t031.04  	rm231p	granite3.1-dense:2b        	   4000	  0.3	125.32	   4.91	  0	  0	  0	  2025-05-06 17:39	KN4	  608	Compare and contrast dif...	  4.85	   93	GKN1-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	                       	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	E:/Repos/Robin/AIDocs_/test1-robin/..docs/a11_search-app/25.05.May/a11_t031_granite3.1-dense;2b_1,25-tests on rm231p/s11_t031.04.4.50506.1739_Response.txt
s11_t031.05  	rm231p	granite3.1-dense:2b        	   4000	  0.3	125.53	   5.95	  0	  0	  0	  2025-05-06 17:39	KN5	  738	Explain how CRISPR gene ...	  5.88	   98	GKN1-SIMP	You are a helpful and informativ...	roman empire               	0 Sources, 0 bytes     	                       	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	E:/Repos/Robin/AIDocs_/test1-robin/..docs/a11_search-app/25.05.May/a11_t031_granite3.1-dense;2b_1,25-tests on rm231p/s11_t031.05.4.50506.1739_Response.txt
s11_t041.01  	rm231p	qwen2:0.5b                 	  16000	  0.3	274.49	   4.92	  0	  0	  0	  2025-05-06 17:39	KP0	  721	Summarize the key events...	  2.63	   32	GKN1-SIMP	Please use the information in th...	roman empire               	0 Sources, 0 bytes     	                       	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	E:/Repos/Robin/AIDocs_/test1-robin/..docs/a11_search-app/25.05.May/a11_t041_qwen2;0.5b_1,1-test on rm231p/s11_t041.01.4.50506.1739_Response.txt
s11_t041.01  	rm231p	qwen2:0.5b                 	  16000	  0.3	239.18	   2.19	  0	  0	  0	  2025-05-06 17:41	KP0	  505	Summarize the key events...	  2.11	   32	GKN1-SIMP	Please use the information in th...	roman empire               	0 Sources, 0 bytes     	                       	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	E:/Repos/Robin/AIDocs_/test1-robin/..docs/a11_search-app/25.05.May/a11_t041_qwen2;0.5b_1,1-test on rm231p/s11_t041.01.4.50506.1741_Response.txt
